factor_id,factor_family,family_description,question,factor_name,source_file,source_column,value_range,interpretation,signal_direction,update_frequency,preferred_use,note
F11,market_macro_regime,현재 거시 환경이 risk_on / neutral / risk_off 중 어느 국면인가,리스크 회피 압력이 얼마나 강한가?,risk_off_score,market_macro_regime_month.csv,risk_off_score,연속 실수 (보통 -1~+2),"VIX Z-score, DXY Z-score, 10Y-2Y spread 등 합산 점수. 1 이상 = 명확한 리스크 오프 구간. 현재: -0.38.",0.5 이상 → 포지션 축소/헤지 검토. 음수 → risk_on 환경.,월 1회,리스크 관리 (손절/비중 축소 트리거),
F12,market_macro_regime,현재 거시 환경이 risk_on / neutral / risk_off 중 어느 국면인가,성장·중소형주에 우호적인 환경인가?,growth_on_flag,market_macro_regime_month.csv,growth_on_flag,True / False,True = KOSDAQ 60일 수익률 양수 + S&P500 수익률 양수 → 성장주·테마주 환경. 현재: False.,True = 2차전지·AI·바이오 등 성장 테마 비중 확대 근거.,월 1회,성장 테마 진입 환경 확인,
F13,market_macro_regime,현재 거시 환경이 risk_on / neutral / risk_off 중 어느 국면인가,한국 수출 회복 국면으로 반도체·소재·자동차 섹터에 유리한가?,export_recovery_flag,market_macro_regime_month.csv,export_recovery_flag,True / False,True = 한국 수출 YoY 증가 + KOSPI 60일 수익률 양수 → 수출 주도 섹터 우호. 현재: False.,True = 반도체·조선·자동차 비중 확대 근거.,월 1회,수출 사이클 섹터 진입 환경 확인,한국 수출 데이터 1~2개월 후행 발표
F14,regime_adjusted_interest,NAVER DataLab 섹터 관심도에 거시 레짐 조정을 적용한 최종 투자 신호,순수 관심도 지표들을 종합하면 이 섹터의 기본 점수는?,base_interest_score,regime_adjusted_sector_interest_month.csv,base_interest_score,0~1,"relative_rank_pct, anchor_relative_ratio, momentum, z-score 합산 기본 점수. 레짐 조정 전 원점수.",0.7 이상 = 관심도 기반 강세 신호.,월 1회,레짐 독립 관심도 평가,
F15,regime_adjusted_interest,NAVER DataLab 섹터 관심도에 거시 레짐 조정을 적용한 최종 투자 신호,거시 레짐(risk_on/off)까지 반영했을 때 이 섹터의 최종 투자 매력도는?,regime_adjusted_interest_score,regime_adjusted_sector_interest_month.csv,regime_adjusted_interest_score,0~1 (레짐 배수로 1 초과 가능),"base_interest_score x regime_multiplier. risk_off 시 할인, risk_on+성장+수출 시 부스트. 현재 TOP: auto(0.97), internet(0.92), semiconductor(0.81).",0.8 이상 = 매수 우선 섹터. 0.5 미만 = 관망/회피.,월 1회,최종 섹터 선정 (가장 종합적인 단일 점수),현재 neutral 레짐 — 부스트/할인 없이 기본 점수 그대로
F16,regime_adjusted_interest,NAVER DataLab 섹터 관심도에 거시 레짐 조정을 적용한 최종 투자 신호,최종 점수를 직관적 등급으로 표현하면?,regime_adjusted_bucket,regime_adjusted_sector_interest_month.csv,regime_adjusted_bucket,'very_strong' / 'strong' / 'moderate' / 'neutral' / 'weak' / 'very_weak',regime_adjusted_interest_score를 6단계 분류. 트레이딩 화면 색상 코딩 용도.,very_strong/strong = 매수 집중. weak/very_weak = 회피.,월 1회,시각화 및 빠른 판단,
F17,regime_adjusted_interest,NAVER DataLab 섹터 관심도에 거시 레짐 조정을 적용한 최종 투자 신호,현재 레짐이 관심도 신호를 약화시키는 환경인가?,risk_discount_applied,regime_adjusted_sector_interest_month.csv,risk_discount_applied,True / False,True = risk_off 레짐으로 관심도 신호를 0.7x 할인 적용. 관심도 높아도 실제 매수는 신중.,True = 관심도 신호 신뢰도 하락. 포지션 크기 축소 권장.,월 1회,신호 신뢰도 필터,
F18,regime_adjusted_interest,NAVER DataLab 섹터 관심도에 거시 레짐 조정을 적용한 최종 투자 신호,수출 회복 + 강달러 환경으로 수출 섹터 부스트를 받고 있는가?,export_boost_applied,regime_adjusted_sector_interest_month.csv,export_boost_applied,True / False,True = 수출 회복 + 달러 강세 → 반도체·조선·자동차 관심도 1.15x 부스트 적용.,True = 해당 섹터 점수 상향. 기본 점수 낮아도 최종 점수 높아질 수 있음.,월 1회,수출 섹터 선별 강화,
F19,kor_macro_factor,한국 금리·환율·외환보유액 등 거시 환경 변수가 주식 시장에 우호적인가,한국 장단기 금리 커브가 정상화(우상향) 되고 있는가?,kor_yield_curve_slope,macro_indices/KOR_GOV10Y.csv - KOR_GOV3Y.csv,10년물 - 3년물 (ECOS),"연속 실수 (%p, 보통 -0.5~+1.5)",양수 = 정상 커브. 0 근처 = 평탄. 음수 = 역전(경기 침체 신호). 현재 +0.37%p (정상화 진행 중).,상승 추세 = 경기 회복 기대 → 사이클 섹터 유리. 역전 확대 = 경기 침체 우려.,일별 (월별 집계 활용),거시 국면 확인 / 금융주 투자 판단,2024년 역전 → 2026년 정상화 진행 중
F20,kor_macro_factor,한국 금리·환율·외환보유액 등 거시 환경 변수가 주식 시장에 우호적인가,한국 금리 커브 기울기가 역사적으로 높은가 낮은가?,kor_yield_curve_zscore_24m,macro_indices/KOR_GOV10Y.csv - KOR_GOV3Y.csv,kor_yield_curve_slope (24개월 Z-score),-2~+2,+1 이상 = 역사적 고점 기울기. -1 이하 = 역사적 저점. 현재 +0.68.,음→양 전환 = 경기 회복 초입 신호.,월 1회,경기 사이클 전환점 포착,
F21,kor_macro_factor,한국 금리·환율·외환보유액 등 거시 환경 변수가 주식 시장에 우호적인가,원화가 최근 1개월 내 약세를 보이고 있는가?,usdkrw_momentum_1m,exchange_rates/USD_KRW.csv,Close (전월 대비 % 변화),연속 실수 (%),양수 = 원화 약세(USD 강세). 음수 = 원화 강세. 현재 +2.07%. 원화 약세 → 외국인 매도 압력·수입 원가 상승.,"양수(원화 약세) = 외국인 순매도 압력, 방어적 접근. 음수 = 외국인 유입 기대.",월 1회,외국인 수급 방향 선행 판단 / 환율 민감 섹터 조정,현재 Z-score +2.04 — 역사적 상위 2%의 원화 약세 구간
F22,kor_macro_factor,한국 금리·환율·외환보유액 등 거시 환경 변수가 주식 시장에 우호적인가,원화 수준이 역사적으로 얼마나 약세(고환율) 구간에 있는가?,usdkrw_zscore_24m,exchange_rates/USD_KRW.csv,Close (24개월 Z-score),-2~+2,+2 이상 = 역사적 고환율(원화 매우 약세). 현재 +2.04.,+1.5 이상 = 외국인 이탈 리스크 구간 — 포지션 규모 주의.,월 1회,외국인 포지셔닝 리스크 평가 / 헤지 여부 결정,"2026-06 현재 1,539원"
F23,kor_macro_factor,한국 금리·환율·외환보유액 등 거시 환경 변수가 주식 시장에 우호적인가,한국의 외환 방어 여력이 역사적으로 충분한가?,fx_reserves_zscore_24m,macro_indices/KOR_FX_RESERVES.csv,value (24개월 Z-score),-2~+2,+1 이상 = 외환보유액 역사적 고수준 → 외환위기 가능성 낮고 원화 방어 여력 충분. 현재 +1.14.,+1 이상 = 거시 안전판 양호. -1.5 이하 = 외환 취약성 우려.,월 1회,거시 시스템 리스크 평가,"현재 약 4,270억달러 (역사적 상위권)"
F24,kospi_positioning_factor,외국인·기관 수급과 KOSPI 밸류에이션이 현재 포지셔닝에 유리한가,외국인이 최근 3개월간 역사적으로 많이 사고 있는가?,foreign_net_buy_3m_zscore,money_flow/market_trading_value_kospi_20y.csv,외국인 순매수 3M 누적 (12M Z-score),-2~+2,+1 이상 = 외국인이 역사적으로 강하게 순매수 → 추세 지속 가능성. 현재 +1.09.,+0.5 이상 = 외국인 주도 상승 국면. -0.5 이하 = 외국인 이탈 국면 — 경계.,월 1회,추세 지속성 확인 / 진입 타이밍,주의: 데이터 날짜 파싱 이슈로 미래 연도 표시될 수 있음 — 검증 필요
F25,kospi_positioning_factor,외국인·기관 수급과 KOSPI 밸류에이션이 현재 포지셔닝에 유리한가,KOSPI PBR이 역사적으로 저평가인가 고평가인가?,kospi_pbr_percentile,valuation/kospi_fundamental_history.csv,kospi_pbr (역사적 분위수 %),0~100 (%),93.7% = 역사적 상위 6% 고평가. 20% 이하 = 역사적 저평가(매수 기회). 현재 93.7%.,80% 이상 = 밸류에이션 부담 (역발상 지표). 20% 이하 = 밸류 매수 근거.,일별,진입 시점 밸류에이션 확인 / 과열 경고,현재 PBR 7.38x — 매우 높은 수준. 모멘텀 vs 밸류 충돌 구간
F26,kospi_positioning_factor,외국인·기관 수급과 KOSPI 밸류에이션이 현재 포지셔닝에 유리한가,KOSPI PBR이 최근 5년 흐름에서 이례적으로 높은가?,kospi_pbr_zscore_5y,valuation/kospi_fundamental_history.csv,kospi_pbr (60개월 Z-score),-2~+2,+1.5 이상 = 5년 기준 이례적 고평가. 현재 -0.38 (5Y 기준 보통 수준).,장기 Z-score가 낮아도 역사 전체 분위수가 높으면 최근 데이터 편향 주의.,일별,5년 사이클 관점 밸류에이션,
F27,kospi_positioning_factor,외국인·기관 수급과 KOSPI 밸류에이션이 현재 포지셔닝에 유리한가,KOSPI가 최근 1개월간 강하게 상승하고 있는가?,kospi_ret_1m,macro/indices/KOSPI.csv,Close (21일 수익률 %),연속 실수 (%),양수 = 상승 추세. 현재 +17.6% (강한 1개월 모멘텀).,+5% 이상 = 강세 모멘텀 (추세 추종 매수). -5% 이하 = 경계.,일별,단기 추세 추종 진입 확인,현재 구간은 단기 과매수 가능성도 있음
F28,kospi_positioning_factor,외국인·기관 수급과 KOSPI 밸류에이션이 현재 포지셔닝에 유리한가,KOSPI가 최근 3개월간 강한 추세를 보이고 있는가?,kospi_ret_3m,macro/indices/KOSPI.csv,Close (63일 수익률 %),연속 실수 (%),현재 +60.2% — 역사적으로 매우 드문 강세 구간. 버블 여부 확인 필요.,+15% 이상 = 강한 중기 모멘텀. -10% 이하 = 추세 하락 경계.,일별,스윙 트레이딩 추세 확인,현재 +60% — 반도체 랠리·외국인 대규모 유입 특수 상황 반영
F29,kospi_positioning_factor,외국인·기관 수급과 KOSPI 밸류에이션이 현재 포지셔닝에 유리한가,현재 KOSPI 변동성이 역사적으로 높은 편인가?,kospi_vol_zscore_252d,macro/indices/KOSPI.csv,20일 변동성 연환산 (252일 Z-score),-2~+2,+1 이상 = 역사적 고변동성(불확실성 높음). 현재 변동성 54% — 높은 편.,"+1.5 이상 = 포지션 크기 축소, 손절폭 확대. -1.5 이하 = 안정 구간.",일별,포지션 크기 결정 / 리스크 관리,변동성이 높아도 방향성이 상승이면 추세 추종 유효
F30,global_cycle_factor,글로벌 반도체 사이클과 신용 환경이 한국 핵심 섹터에 유리한가,반도체 장비 수요가 공급을 초과하는 확장 국면인가?,semi_bb_ratio,macro_indices/SEMI_BB.csv,bb_ratio,0.5~1.8 (역사적 범위),Book-to-Bill = 수주액/출하액 3개월 이동평균. 1.0 이상 = 수요>공급(확장). 1.0 미만 = 수축. 현재 1.64.,1.0 이상 = 반도체 장비·소재 매수 근거. 1.3 이상 = 강한 사이클 확장. 1.0 하향 이탈 = 수축 전환 경계.,"월 1회 (SEMI.org 발표, 1~2개월 후행)",반도체·반도체장비·소재 섹터 진입 타이밍,현재 1.64 — 역사적 강세 구간. 한국 반도체 섹터에 직결
F31,global_cycle_factor,글로벌 반도체 사이클과 신용 환경이 한국 핵심 섹터에 유리한가,BB비율이 확장 임계값(1.0)을 넘어 반도체 강세 국면 진입 상태인가?,semi_bb_expansion_flag,macro_indices/SEMI_BB.csv,bb_ratio > 1.0,True / False,"True = BB>1.0, 반도체 사이클 확장 국면. 현재 True (1.64).",True = 삼성전자·SK하이닉스·반도체장비 매수 환경.,월 1회,반도체 섹터 바이너리 필터,
F32,global_cycle_factor,글로벌 반도체 사이클과 신용 환경이 한국 핵심 섹터에 유리한가,글로벌 반도체 ETF(SOXX)가 최근 3개월 강한 상승 추세인가?,soxx_momentum_3m,macro_indices/SOXX.csv,Close (63일 수익률 %),연속 실수 (%),양수 = 글로벌 반도체 주가 상승 추세. 음수 = 하락.,+10% 이상 = 한국 반도체 동반 상승 기대. 음수 전환 = 하락 선행 신호.,일별,한국 반도체 섹터 진입 전 글로벌 확인,SOXX가 KOSPI 반도체보다 2~4주 선행하는 경향
F33,global_cycle_factor,글로벌 반도체 사이클과 신용 환경이 한국 핵심 섹터에 유리한가,SOXX가 역사적으로 높은 위치에 있는가?,soxx_zscore_12m,macro_indices/SOXX.csv,Close (12개월 Z-score),-2~+2,+1.5 이상 = 12M 내 이례적 고점(단기 과매수 주의). -1.5 이하 = 이례적 저점(반등 기대).,방향성과 함께 해석 (모멘텀 + 위치 조합).,일별,반도체 진입 타이밍 정교화,
F34,global_cycle_factor,글로벌 반도체 사이클과 신용 환경이 한국 핵심 섹터에 유리한가,글로벌 하이일드 크레딧 스프레드가 역사적으로 높아 신용 위험이 확대되고 있는가?,hy_spread_zscore_12m,macro_indices/BAMLH0A0HYM2.csv,BAMLH0A0HYM2 (12개월 Z-score),-2~+3 (오른쪽 꼬리 있음),+1.5 이상 = 글로벌 신용 위험 확대(주식 전반 압박). -0.5 이하 = 신용 환경 양호.,"+1 이상 → 포지션 축소, 방어주 확대. -0.5 이하 → 위험자산 비중 유지.",일별,글로벌 신용 위험 모니터링 / 포트폴리오 리스크 관리,금융위기·코로나 시 +3 이상 기록. 일상 구간 0~1
F35,naver_theme_factor,NAVER DataLab 6개 테마의 검색 관심도 모멘텀 — 개인 투자자 관심 선행 포착,반도체 관련 테마 키워드(반도체|HBM|AI반도체) 검색이 최근 증가하고 있는가?,theme_momentum_1m_semiconductor,naver_datalab_theme_interest_month.csv,"ratio (group_name=semiconductor_theme, 전월 대비)",연속 실수,양수 = 반도체 테마 검색 급증 → 개인 투자자 관심 증가. 음수 = 관심 식음. 현재 ratio 6.51.,양수 전환 = 반도체 섹터 단기 모멘텀 선행 신호. 급등 후 피크 주의.,월 1회,반도체 관련주 단기 진입 타이밍,개인 검색량이 주가 1~2주 선행하는 경향 (소문에 사고 뉴스에 판다)
F36,naver_theme_factor,NAVER DataLab 6개 테마의 검색 관심도 모멘텀 — 개인 투자자 관심 선행 포착,2차전지·배터리 테마 검색이 최근 증가하고 있는가?,theme_momentum_1m_battery,naver_datalab_theme_interest_month.csv,"ratio (group_name=battery_theme, 전월 대비)",연속 실수,양수 = 2차전지 테마 관심 증가. 현재 ratio 5.49.,양수 전환 = 배터리·2차전지 관련주 단기 모멘텀 신호.,월 1회,2차전지 섹터 단기 진입 타이밍,
F37,naver_theme_factor,NAVER DataLab 6개 테마의 검색 관심도 모멘텀 — 개인 투자자 관심 선행 포착,전체 시장 검색 관심(market_index)이 증가하고 있어 개인 자금 유입이 임박했는가?,market_index_ratio,naver_datalab_theme_interest_month.csv,ratio (group_name=market_index),0 이상 실수,KOSPI·KOSDAQ·주식 등 시장 전체 키워드 관심도. 현재 12.84 (높은 편). 급등 → 개인 자금 대거 유입 임박.,급등 → 개인 자금 유입 임박 신호(단기 추가 상승 가능). 급락 → 개인 이탈 시작.,월 1회,시장 전체 개인 심리 온도계,"market_index = anchor 역할, 다른 섹터 관심도 정규화에 사용됨"
F38,naver_theme_factor,NAVER DataLab 6개 테마의 검색 관심도 모멘텀 — 개인 투자자 관심 선행 포착,방산·원자력·신재생 등 정책 테마 검색이 증가하고 있는가?,theme_momentum_1m_policy,naver_datalab_theme_interest_month.csv,"ratio (defense_theme + renewable_theme + power_grid_theme 평균, 전월 대비)",연속 실수,"양수 = 정책 수혜 테마(방산·원전·전력망) 관심 증가 → 테마주 단기 급등 선행 신호. 현재: defense 1.22, renewable 2.23, power_grid 0.46.",급등 전환 = 관련 테마주 모멘텀 매매 진입 근거.,월 1회,정책 테마 단기 매매,
